Case ID,Activity,Start Date,End Date,Agent Position,Customer ID,Product,Service Type,Resource
Case 45,Inbound Call,7.3.10 11:14,7.3.10 11:15,FL,Customer 3,MacBook Pro,Product Assistance,Steffi
Case 46,Inbound Call,29.3.10 14:14,29.3.10 14:18,FL,Customer 39,MacBook Pro,Referred to Servicer,Clark
Case 47,Inbound Call,25.3.10 13:59,25.3.10 14:08,FL,Customer 40,MacBook Pro,Referred to Servicer,Barbara
Case 47,Inbound Call,25.3.10 16:48,25.3.10 16:53,FL,Customer 40,MacBook Pro,Referred to Servicer,Jochem
Case 47,Handle Case,26.3.10 10:08,26.3.10 10:10,BL,Customer 40,MacBook Pro,Referred to Servicer,Mathias
Case 47,Inbound Call,26.3.10 14:34,26.3.10 14:37,FL,Customer 40,MacBook Pro,Referred to Servicer,Christian
Case 47,Inbound Call,27.3.10 7:22,27.3.10 7:23,FL,Customer 40,MacBook Pro,Referred to Servicer,Susi
Case 48,Inbound Call,25.3.10 8:09,25.3.10 8:11,FL,Customer 41,MacBook Pro,Referred to Servicer,Elena
Case 49,Handle Email,19.3.10 7:25,19.3.10 7:27,FL,Customer 42,iPhone,Product Assistance,Samuil
Case 49,Call Outbound,19.3.10 7:34,19.3.10 7:37,FL,Customer 42,iPhone,Product Assistance,Samuil
Case 50,Inbound Call,14.3.10 13:02,14.3.10 13:04,FL,Customer 43,MacBook Pro,Referred to Servicer,Johan
Case 51,Inbound Email,4.3.10 16:54,6.3.10 14:34,FL,Customer 44,iPhone,Product Assistance,Mary
Case 51,Email Outbound,6.3.10 14:35,6.3.10 14:37,FL,Customer 44,iPhone,Product Assistance,Mary
Case 51,Handle Email,6.3.10 14:37,6.3.10 14:37,FL,Customer 44,iPhone,Product Assistance,Mary
Case 52,Inbound Call,27.3.10 17:33,27.3.10 17:37,FL,Customer 45,iPhone,Product Assistance,Michael
Case 52,Call Outbound,28.3.10 11:22,28.3.10 11:24,FL,Customer 45,iPhone,Product Assistance,Michael
Case 53,Inbound Call,22.3.10 10:04,22.3.10 10:07,FL,Customer 46,iPhone,Referred to Servicer,Henk
